GeneID	Symbol
ENSG00000204516	MICB
ENSG00000275264	MIR1204
ENSG00000222651	MIR1469
ENSG00000265565	MIR3143
ENSG00000264175	MIR3189
ENSG00000265660	MIR4664
ENSG00000277736	MIR8085
ENSG00000187098	MITF
ENSG00000238133	MLK7-AS1
ENSG00000082126	MPP4
ENSG00000133030	MPRIP
ENSG00000172935	MRGPRF
ENSG00000198417	MT1F
ENSG00000125144	MT1G
ENSG00000166886	NAB2
ENSG00000161653	NAGS
ENSG00000049759	NEDD4L
ENSG00000100285	NEFH
ENSG00000277586	NEFL
ENSG00000104722	NEFM
ENSG00000167034	NKX3-1
ENSG00000198929	NOS1AP
ENSG00000130751	NPAS1
ENSG00000141458	NPC1
ENSG00000106236	NPTX2
ENSG00000237187	NR2F1-AS1
ENSG00000074527	NTN4
ENSG00000162631	NTNG1
ENSG00000081087	OSTM1
ENSG00000135473	PAN2
ENSG00000182752	PAPPA
ENSG00000138617	PARP16
ENSG00000248485	PCP4L1
ENSG00000145882	PCYOX1L
ENSG00000119630	PGF
ENSG00000177595	PIDD1
ENSG00000167103	PIP5KL1
ENSG00000122861	PLAU
ENSG00000145632	PLK2
ENSG00000168495	POLR3D
ENSG00000213889	PPM1N
ENSG00000214517	PPME1
ENSG00000150722	PPP1R1C
ENSG00000231924	PSG1
ENSG00000248257	PSG10P
ENSG00000242221	PSG2
ENSG00000204941	PSG5
ENSG00000170848	PSG6
ENSG00000221878	PSG7
ENSG00000124467	PSG8
ENSG00000183668	PSG9
ENSG00000152229	PSTPIP2
ENSG00000073756	PTGS2
ENSG00000108551	RASD1
ENSG00000128045	RASL11B
ENSG00000159200	RCAN1
ENSG00000181827	RFX7
ENSG00000196460	RFX8
ENSG00000147509	RGS20
ENSG00000137275	RIPK1
ENSG00000133874	RNF122
ENSG00000200997	RNU1-85P
ENSG00000273709	RNU2-1
ENSG00000274062	RNU2-1
ENSG00000274432	RNU2-1
ENSG00000274862	RNU2-1
ENSG00000275219	RNU2-1
ENSG00000275616	RNU2-1
ENSG00000276596	RNU2-1
ENSG00000277903	RNU2-1
ENSG00000278048	RNU2-1
ENSG00000278591	RNU2-1
ENSG00000222328	RNU2-2P
ENSG00000223336	RNU2-6P
ENSG00000252186	RNU6-781P
ENSG00000149489	ROM1
ENSG00000251095	RP11-115D19.1
ENSG00000270124	RP11-118F19.1
ENSG00000249174	RP11-124N3.3
ENSG00000250999	RP11-1379J22.5
ENSG00000236546	RP1-118J21.5
ENSG00000244468	RP11-206M11.7
ENSG00000249790	RP11-20D14.6
ENSG00000271762	RP11-213H15.4
ENSG00000274874	RP11-214K3.25
ENSG00000250748	RP11-230G5.2
ENSG00000237513	RP11-325F22.2
ENSG00000248810	RP11-362F19.1
ENSG00000266278	RP11-41O4.2
ENSG00000261550	RP11-467J12.4
ENSG00000230623	RP11-469A15.2
ENSG00000245522	RP11-540A21.2
ENSG00000223478	RP11-545E17.3
ENSG00000261573	RP11-553K8.5
ENSG00000248429	RP11-597D13.9
ENSG00000256615	RP11-59N23.3
ENSG00000225611	RP11-70C1.1
ENSG00000259033	RP11-718G2.5
ENSG00000251129	RP11-734I18.1
ENSG00000265217	RP11-775G23.1
ENSG00000263551	RP11-78F17.1
ENSG00000263567	RP11-805L22.3
ENSG00000251458	RP11-844P9.1
ENSG00000248596	RP11-844P9.2
ENSG00000270989	RP11-844P9.4
ENSG00000280639	RP11-96C21.2
ENSG00000260302	RP11-973H7.1
ENSG00000262302	RP1-4G17.5
ENSG00000223831	RP1-56J10.8
ENSG00000235643	RP1-69M21.2
ENSG00000234546	RP3-510D11.2
ENSG00000231987	RP5-898J17.1
ENSG00000117676	RPS6KA1
ENSG00000100784	RPS6KA5
ENSG00000166592	RRAD
ENSG00000196420	S100A5
ENSG00000073060	SCARB1
ENSG00000166922	SCG5
ENSG00000281131	SCHLAP1
ENSG00000187764	SEMA4D
ENSG00000168528	SERINC2
ENSG00000197632	SERPINB2
ENSG00000170542	SERPINB9
ENSG00000080546	SESN1
ENSG00000130766	SESN2
ENSG00000175793	SFN
ENSG00000275342	SGK223
ENSG00000146409	SLC18B1
ENSG00000140284	SLC27A2
ENSG00000170385	SLC30A1
ENSG00000138449	SLC40A1
ENSG00000167703	SLC43A2
ENSG00000076351	SLC46A1
ENSG00000088836	SLC4A11
ENSG00000174640	SLCO2A1
ENSG00000145147	SLIT2
ENSG00000095932	SMIM24
ENSG00000023608	SNAPC1
ENSG00000173267	SNCG
ENSG00000185338	SOCS1
ENSG00000110693	SOX6
ENSG00000163071	SPATA18
ENSG00000153820	SPHKAP
ENSG00000167642	SPINT2
ENSG00000277363	SRCIN1
ENSG00000182934	SRPR
ENSG00000115525	ST3GAL5
ENSG00000066923	STAG3
ENSG00000152953	STK32B
ENSG00000148175	STOM
ENSG00000076944	STXBP2
ENSG00000196562	SULF2
ENSG00000106868	SUSD1
ENSG00000205078	SYCE1L
ENSG00000115353	TACR1
ENSG00000187621	TCL6
ENSG00000142910	TINAGL1
ENSG00000169908	TM4SF1
ENSG00000141524	TMC6
ENSG00000106771	TMEM245
ENSG00000149582	TMEM25
ENSG00000104689	TNFRSF10A
ENSG00000120889	TNFRSF10B
ENSG00000173535	TNFRSF10C
ENSG00000181634	TNFSF15
ENSG00000125657	TNFSF9
ENSG00000105048	TNNT1
ENSG00000090905	TNRC6A
ENSG00000078804	TP53INP2
ENSG00000147573	TRIM55
ENSG00000127824	TUBA4A
ENSG00000137285	TUBB2B
ENSG00000087301	TXNDC16
ENSG00000273694	U2
ENSG00000175567	UCP2
ENSG00000148154	UGCG
ENSG00000167992	VWCE
ENSG00000065268	WDR18
ENSG00000143816	WNT9A
ENSG00000179314	WSCD1
ENSG00000124343	XG
ENSG00000060138	YBX3
ENSG00000281435	Z98744.1
ENSG00000281851	Z98744.3
ENSG00000174460	ZCCHC12
ENSG00000078487	ZCWPW1
ENSG00000172667	ZMAT3
ENSG00000177842	ZNF620
ENSG00000179195	ZNF664
ENSG00000174255	ZNF80
